year,city,country,avg_temp
1796,Nagpur,India,25.43
1797,Nagpur,India,26.58
1798,Nagpur,India,24.63
1799,Nagpur,India,25.71
1800,Nagpur,India,25.69
1801,Nagpur,India,24.52
1802,Nagpur,India,26.19
1803,Nagpur,India,25.95
1804,Nagpur,India,26.32
1805,Nagpur,India,25.81
1806,Nagpur,India,25.70
1807,Nagpur,India,25.00
1808,Nagpur,India,
1809,Nagpur,India,
1810,Nagpur,India,
1811,Nagpur,India,
1812,Nagpur,India,
1813,Nagpur,India,25.05
1814,Nagpur,India,24.23
1815,Nagpur,India,24.59
1816,Nagpur,India,24.22
1817,Nagpur,India,24.39
1818,Nagpur,India,24.66
1819,Nagpur,India,24.45
1820,Nagpur,India,24.62
1821,Nagpur,India,25.30
1822,Nagpur,India,25.36
1823,Nagpur,India,25.32
1824,Nagpur,India,25.85
1825,Nagpur,India,25.56
1826,Nagpur,India,25.65
1827,Nagpur,India,25.69
1828,Nagpur,India,25.41
1829,Nagpur,India,25.24
1830,Nagpur,India,25.40
1831,Nagpur,India,25.07
1832,Nagpur,India,25.25
1833,Nagpur,India,25.33
1834,Nagpur,India,25.31
1835,Nagpur,India,24.45
1836,Nagpur,India,25.04
1837,Nagpur,India,25.01
1838,Nagpur,India,25.04
1839,Nagpur,India,25.09
1840,Nagpur,India,25.26
1841,Nagpur,India,25.01
1842,Nagpur,India,25.17
1843,Nagpur,India,25.00
1844,Nagpur,India,24.84
1845,Nagpur,India,25.14
1846,Nagpur,India,25.58
1847,Nagpur,India,25.09
1848,Nagpur,India,25.06
1849,Nagpur,India,25.00
1850,Nagpur,India,25.32
1851,Nagpur,India,25.25
1852,Nagpur,India,25.16
1853,Nagpur,India,25.47
1854,Nagpur,India,25.57
1855,Nagpur,India,25.57
1856,Nagpur,India,25.07
1857,Nagpur,India,24.70
1858,Nagpur,India,25.36
1859,Nagpur,India,25.43
1860,Nagpur,India,25.19
1861,Nagpur,India,25.08
1862,Nagpur,India,21.10
1863,Nagpur,India,
1864,Nagpur,India,
1865,Nagpur,India,25.61
1866,Nagpur,India,25.67
1867,Nagpur,India,25.67
1868,Nagpur,India,25.46
1869,Nagpur,India,25.54
1870,Nagpur,India,25.29
1871,Nagpur,India,25.40
1872,Nagpur,India,25.38
1873,Nagpur,India,25.46
1874,Nagpur,India,25.40
1875,Nagpur,India,25.53
1876,Nagpur,India,25.60
1877,Nagpur,India,25.68
1878,Nagpur,India,26.26
1879,Nagpur,India,25.07
1880,Nagpur,India,25.67
1881,Nagpur,India,25.20
1882,Nagpur,India,25.33
1883,Nagpur,India,25.07
1884,Nagpur,India,24.82
1885,Nagpur,India,25.14
1886,Nagpur,India,25.50
1887,Nagpur,India,25.14
1888,Nagpur,India,25.58
1889,Nagpur,India,25.85
1890,Nagpur,India,25.66
1891,Nagpur,India,25.32
1892,Nagpur,India,25.92
1893,Nagpur,India,24.42
1894,Nagpur,India,25.55
1895,Nagpur,India,25.70
1896,Nagpur,India,26.59
1897,Nagpur,India,26.42
1898,Nagpur,India,25.85
1899,Nagpur,India,26.38
1900,Nagpur,India,26.56
1901,Nagpur,India,25.78
1902,Nagpur,India,26.43
1903,Nagpur,India,25.58
1904,Nagpur,India,25.53
1905,Nagpur,India,25.37
1906,Nagpur,India,25.60
1907,Nagpur,India,25.38
1908,Nagpur,India,25.40
1909,Nagpur,India,25.45
1910,Nagpur,India,25.26
1911,Nagpur,India,25.72
1912,Nagpur,India,25.96
1913,Nagpur,India,25.64
1914,Nagpur,India,25.66
1915,Nagpur,India,26.01
1916,Nagpur,India,25.52
1917,Nagpur,India,24.51
1918,Nagpur,India,25.58
1919,Nagpur,India,25.46
1920,Nagpur,India,25.86
1921,Nagpur,India,26.16
1922,Nagpur,India,25.65
1923,Nagpur,India,25.81
1924,Nagpur,India,26.02
1925,Nagpur,India,25.37
1926,Nagpur,India,25.54
1927,Nagpur,India,25.60
1928,Nagpur,India,25.93
1929,Nagpur,India,25.70
1930,Nagpur,India,25.69
1931,Nagpur,India,26.15
1932,Nagpur,India,25.84
1933,Nagpur,India,25.31
1934,Nagpur,India,25.45
1935,Nagpur,India,25.56
1936,Nagpur,India,25.60
1937,Nagpur,India,25.29
1938,Nagpur,India,25.58
1939,Nagpur,India,25.73
1940,Nagpur,India,25.63
1941,Nagpur,India,26.54
1942,Nagpur,India,25.93
1943,Nagpur,India,25.41
1944,Nagpur,India,25.51
1945,Nagpur,India,25.34
1946,Nagpur,India,25.83
1947,Nagpur,India,25.94
1948,Nagpur,India,26.01
1949,Nagpur,India,25.83
1950,Nagpur,India,25.58
1951,Nagpur,India,26.00
1952,Nagpur,India,26.38
1953,Nagpur,India,26.55
1954,Nagpur,India,26.02
1955,Nagpur,India,25.69
1956,Nagpur,India,25.69
1957,Nagpur,India,25.93
1958,Nagpur,India,26.53
1959,Nagpur,India,26.08
1960,Nagpur,India,25.93
1961,Nagpur,India,25.53
1962,Nagpur,India,25.53
1963,Nagpur,India,25.63
1964,Nagpur,India,26.04
1965,Nagpur,India,25.97
1966,Nagpur,India,26.46
1967,Nagpur,India,26.07
1968,Nagpur,India,25.50
1969,Nagpur,India,26.44
1970,Nagpur,India,25.77
1971,Nagpur,India,25.18
1972,Nagpur,India,26.13
1973,Nagpur,India,26.29
1974,Nagpur,India,25.98
1975,Nagpur,India,25.60
1976,Nagpur,India,26.17
1977,Nagpur,India,26.23
1978,Nagpur,India,25.72
1979,Nagpur,India,26.42
1980,Nagpur,India,26.54
1981,Nagpur,India,25.94
1982,Nagpur,India,26.09
1983,Nagpur,India,25.72
1984,Nagpur,India,25.90
1985,Nagpur,India,26.18
1986,Nagpur,India,26.19
1987,Nagpur,India,26.31
1988,Nagpur,India,26.47
1989,Nagpur,India,25.95
1990,Nagpur,India,25.68
1991,Nagpur,India,26.20
1992,Nagpur,India,26.32
1993,Nagpur,India,26.07
1994,Nagpur,India,25.75
1995,Nagpur,India,26.04
1996,Nagpur,India,26.46
1997,Nagpur,India,25.75
1998,Nagpur,India,26.40
1999,Nagpur,India,26.06
2000,Nagpur,India,26.18
2001,Nagpur,India,26.32
2002,Nagpur,India,26.75
2003,Nagpur,India,26.50
2004,Nagpur,India,26.41
2005,Nagpur,India,26.23
2006,Nagpur,India,26.37
2007,Nagpur,India,26.39
2008,Nagpur,India,26.19
2009,Nagpur,India,27.14
2010,Nagpur,India,26.93
2011,Nagpur,India,26.00
2012,Nagpur,India,26.33
2013,Nagpur,India,27.11
