year,city,country,avg_temp
1743,New York,United States,3.26
1744,New York,United States,11.66
1745,New York,United States,1.13
1746,New York,United States,
1747,New York,United States,
1748,New York,United States,
1749,New York,United States,
1750,New York,United States,10.07
1751,New York,United States,10.79
1752,New York,United States,2.81
1753,New York,United States,9.52
1754,New York,United States,9.88
1755,New York,United States,6.61
1756,New York,United States,9.94
1757,New York,United States,8.89
1758,New York,United States,8.15
1759,New York,United States,9.01
1760,New York,United States,7.73
1761,New York,United States,10.18
1762,New York,United States,9.55
1763,New York,United States,7.23
1764,New York,United States,9.55
1765,New York,United States,8.96
1766,New York,United States,10.09
1767,New York,United States,8.52
1768,New York,United States,8.67
1769,New York,United States,9.10
1770,New York,United States,9.04
1771,New York,United States,10.18
1772,New York,United States,9.64
1773,New York,United States,10.08
1774,New York,United States,9.52
1775,New York,United States,10.24
1776,New York,United States,9.13
1777,New York,United States,8.77
1778,New York,United States,6.89
1779,New York,United States,0.25
1780,New York,United States,
1781,New York,United States,9.79
1782,New York,United States,9.15
1783,New York,United States,8.81
1784,New York,United States,8.40
1785,New York,United States,8.49
1786,New York,United States,8.98
1787,New York,United States,8.97
1788,New York,United States,9.77
1789,New York,United States,9.42
1790,New York,United States,9.39
1791,New York,United States,9.37
1792,New York,United States,8.72
1793,New York,United States,9.88
1794,New York,United States,9.83
1795,New York,United States,9.21
1796,New York,United States,8.97
1797,New York,United States,8.85
1798,New York,United States,9.71
1799,New York,United States,9.19
1800,New York,United States,9.58
1801,New York,United States,10.00
1802,New York,United States,10.29
1803,New York,United States,10.07
1804,New York,United States,9.69
1805,New York,United States,10.43
1806,New York,United States,9.38
1807,New York,United States,9.17
1808,New York,United States,9.57
1809,New York,United States,8.87
1810,New York,United States,9.35
1811,New York,United States,9.43
1812,New York,United States,7.80
1813,New York,United States,8.93
1814,New York,United States,8.70
1815,New York,United States,8.27
1816,New York,United States,7.92
1817,New York,United States,7.78
1818,New York,United States,8.13
1819,New York,United States,9.07
1820,New York,United States,8.98
1821,New York,United States,8.53
1822,New York,United States,9.84
1823,New York,United States,8.64
1824,New York,United States,9.29
1825,New York,United States,10.21
1826,New York,United States,9.92
1827,New York,United States,9.26
1828,New York,United States,10.70
1829,New York,United States,9.17
1830,New York,United States,10.32
1831,New York,United States,9.07
1832,New York,United States,9.15
1833,New York,United States,9.15
1834,New York,United States,9.32
1835,New York,United States,8.48
1836,New York,United States,7.51
1837,New York,United States,8.12
1838,New York,United States,8.73
1839,New York,United States,9.17
1840,New York,United States,9.27
1841,New York,United States,9.00
